cus_id,comment_time,comment_star,cus_comment,kouwei,huanjing,fuwu,shopID
迷糊泰迪,2018-09-20 06:48,sml-str40,"南信 算是 广州 著名 甜品店吧 ，好几个 时间段 路过 ，都是 座无虚席。  看着 餐单 上 密密麻麻 ，满满当当 好吃的 ，容易 范选择 困难症。拼桌 的 体验 ，不是最好 ，人多 嘈杂 ，只想 快点 吃完 赶紧撤。 自己到 收银台 点单 ，服务员 只管 上菜 ，食物 味道 还是要 点赞的


		                            收起评论",非常好,好,好,518986
稱霸幼稚園,2018-09-22 21:49,sml-str40,"中午吃完了所谓的早茶 回去放下行李 休息了会  就来吃下午茶了[服务]两层楼 楼下只能收现金 楼上可以微信支付宝 先找座位再点单[环境]人很多 去的那时候还下雨 楼下楼上座无虚席 可见生意真是好啊「芝麻糊」其实是芝麻糊加了汤丸 我觉得这个不太腻 所以吃了挺多 「双皮奶」双皮奶第一口的味道我是很喜欢 但是吃多了有点腻 碗的分量不小 店里吃的挺多 不过不饿也就点了个招牌的尝尝再有机会去的话换个别的尝尝.
                            

		                            收起评论",很好,很好,很好,518986
爱吃的美美侠,2018-09-22 22:16,sml-str40,"【VIP冲刺王者战队】【吃遍蓉城战队】【VIP有特权】五月份和好朋友毕业旅行来了广州。我们都是双皮奶爱好者，搜到啦最火的店，吃完早茶就慢慢等这家店开门了，等吃的真的是煎熬哦。九点半店一开门瞬间就人很多了，很多老爷爷老奶奶专门来吃一碗然后走人，哈哈，向往这种悠闲的日子。姜汁撞奶♡喝不太惯，姜味真的好重啊，喝着辣辣的，我们四人点了一碗都没喝完。哈哈。红豆双皮奶♡怎么说呢，这边的双皮奶稍微的稠一些，比酸奶还要稠一些，奶味很重，吃起来蛮香的，那平时吃的双皮奶像果冻一样，哈哈，我还是更喜欢吃果冻的双皮奶。总体还不错的一家店，我觉得来广州算是要打卡的一家店。
                            

		                            收起评论",很好,很好,很好,518986
姜姜会吃胖,2018-09-19 06:36,sml-str40,"都说来广州吃糖水就要来南信招牌姜撞奶，红豆双皮奶牛三星，云吞面一楼现金，二楼微信支付宝位置不少但是还是很拥挤，只能拼桌几乎人手一碗的姜撞奶真的超级超级嫩滑，奶味十足，入口即化的带着浓浓的姜汁香味，稍微搅拌一下，就不再是冻状了，真的是完全没有添加剂的奶制品，堪称完美
                            

		                            收起评论",非常好,很好,很好,518986
forevercage,2018-08-24 17:58,sml-str50,"一直很期待也最爱吃甜品，广州的甜品很丰富很多样，来之前就一直想着一定要过来吃到腻，今天总算实现了，先来拔草南信牛奶甜品专家。为了吃这家，特地叫车来到上下九，这条街上都是好吃的，一家家拔草过来。南信生意太好，堂吃需要排队，无奈只能选择外带，外带的话就有很多局限，奶类是不外带的，点了红豆双皮奶、杨枝甘露和百合莲心绿豆沙。外带的虽然没那么好看，但是一点都不影响味道，还是觉得好好吃。果然名不虚传。
                            

		                            收起评论",非常好,很好,很好,518986
凸槌槌,2018-09-03 13:12,sml-str30,"甜品一直是我的心头肉，既然来了广州，不吃甜品是不会罢休的 ，可惜还有好几家没有办法前往。南信牛奶甜品专家，是非常火的甜品店，一万多条的评论就能看出之火爆， 到店是中午12 点左右，基本是爆满，还好三楼的时候刚好有一桌起来了，不然还真要站着等一会。先点单付钱入座等待红豆双皮奶 15 元/ 份，等待时长大概 15分钟 ，食客实在太多了 ，可选择冰热，夏天当然要吃冰的 ！！吃的有点小恶心，又或者是自己吃不惯 … 挺奇怪的杨枝甘露 20元 / 份，这家的杨枝甘露很稀，感觉没啥味道，料很少。。游客店 … 随随便便了人均大概 20-30
                            

		                            收起评论",好,很好,很好,518986
superclampfa,2018-08-15 00:39,sml-str40,"补发点评：目前为止吃过的最好吃的双皮奶，没有之一！去广州一定要尝试他家的双皮奶！不然是人生一大憾事！杨枝甘露也不错，比较解腻，适合饭后吃。还点过两道主食，鲜虾云吞面尚可，菌菇叉烧肠粉不推荐。因为他家一直人很多，想着难得来一次多尝试一些口味，匆忙间随机点了个椰汁香芋西米露，不错，香芋又糯又大块，但不是我的菜，仔细研究菜单后发现好想吃雪牛奶雪耳炖木瓜下次有机会再来广州玩，一定要再来吃！
                            

		                            收起评论",非常好,很好,很好,518986
梦中的纸马,2018-09-08 21:13,sml-str30,"在上下九步行街闲逛，一直觉得未能找到网上所说的""必吃小食""，有些失望。走着走着，无意中发现南信，门面不大，联想到网上的""必吃菜单""，这才生出一点不枉此行的感觉。老字号的广式甜品，设施与服务员的穿着，都有点""趋老""。二层楼，一楼说是网络不好，只收现金，如果微信支付，上二楼。找桌坐下，面对目不暇接的菜单，不知道点什么好，只能点前面带五角星的招牌菜。姜撞奶和红豆双皮奶真心不错，盛上来清清爽爽，模样惹人喜爱。这里得说说上汤牛三星，第一次吃，大概是牛肝之类的东东，不知道为啥那么受欢迎，我等实在不敢恭维，一是腥的很，吃了几口腥味难以散去；二是腻味，吃的都是高脂肪，量大难以下咽。现在的饮食多为糅合之作，广东人不排斥湖南菜，湖南人也能习惯广东菜。大抵有个统一的评判。然而这道上汤牛三星，令我等在广东生活近二十年的人，都无法接受，看来要减分。最后提一个建议，菜单不必密密麻麻，让人眼花缭乱，凸显十余个主打就好了。目前看，这是趋势，不在于多，而在于做精。
                            

		                            收起评论",好,一般,好,518986
初小正,2018-09-15 22:26,sml-str40,"广州很胖人…忍不住的要吃糖水甜品。南信的店面很好找，上下九旅游区，就餐环境一般，毕竟游人实在太多，想要悠哉地享受一碗甜品基本不可能，赶场一样吃完就走。红豆双皮奶：红豆馅略有点甜腻，但配上基本没有调味的双皮奶，就跟适口了。煮到绵软的豆馅儿保持着豆子的形状，但舌尖和上牙膛的力量足以碾碎，浓浓的豆香和蜜糖的味道扩散开来，还有双皮奶润滑清甜的滋味，很是不错。吃完也不觉得腻。招牌薄撑：因为好奇点来的甜品，其实是糯米卷子，里面有花生碎和椰蓉，入口软糯甜蜜，热乎乎的感觉非常适合北方的冬天，但由于花生酱很腻，而且量大，一份六个，吃到第二个基本就差不多了。
                            

		                            收起评论",非常好,很好,非常好,518986
水芙蓉88,2018-09-06 16:06,sml-str40,"位于步行街上，沿着步行街一直走，就可以到达！去的时候不用排队，门口有几个坐着，原以为是排队等候呢，结果发现人家是等打包带走！大堂里有点乱，拼桌现象到处可见！服务员态度不够热情，可能老字号的普遍现象！小妞最爱甜品了，「红豆双皮奶」15元，小妞竟然认为热的更好吃，红豆细腻，甜甜糯糯，双皮奶，丝稠顺滑，入口即化，用水牛奶做原材料！「杨枝甘露」，感觉一般般吧！「牛三星汤」，这个量很扎实，里面全是内脏之类的，不敢多吃，味道还是不错的！「双皮奶」14元，冷的，个人更喜欢冷的，冷藏的味道更佳，其状如膏，其色洁白，质感细腻嫩滑，口味甜香清淡。
                            

		                            收起评论",很好,很好,很好,518986
滚淡小姐,2018-09-12 20:44,sml-str40,"不知道算不算网红，只是在很多小伙伴的朋友圈都看到过，自然要来打卡，更何况一晚上在北京路 和上下九转得饥肠辘辘晚饭都没吃。记得似乎要左拐延伸蛮远的路才能找到。红色的招牌漆金的字很显眼，一堆人聚在门口等陈皮红豆沙。跨进门槛，陈皮的香气非常突出，最后走的时候很后悔没来上一碗。等，等，等，去他们家就这三个字，都晚上8点半了还是乌泱泱那么多人。好不容易拼到一桌，拿起菜单有点懵，本来打算就吃了甜品就走，结果发现他们家是综合的店，还有咸食。于是研究了老半天。煲仔牛腩，牛腩偏老，咬不下去，萝卜倒是酥软，但是味重，基本弃了鲜虾云吞，不赖，但因为广州此物遍地都烧得不错，因此没有特别的感觉西关猪脚姜醋捞面，这道新奇的面点，让我很尴尬，自己仗着点菜鲜少失手，毅然挑选了这道。结果嘛酸甜味且姜浓的面吃不惯。但这猪脚姜醋现在查了下却是相当有名的，是一道广东的传统名菜，选用猪脚、鸡蛋、肉姜、及广东特有的甜醋精心烹饪出来的尤其对女生非常滋补的菜肴，不过吧我是欣赏不来，口味差异太大了。去年回看《拜托了冰箱》的时候也曾发现蔡康永恋恋不忘童年吃到的一道潮汕酸甜拌面，大概也是这种系列的口味，滚淡表示理解，但是真的无福消受。椰子木瓜炖雪耳，我爸过来捞了一块说这个冰，好吃，我说黄的是木瓜，我爸瞬间石化了，哈哈哈双皮奶，之前在上下九另外一家茶餐厅里饭菜不好吃，就双皮奶还行，我爸就很有兴趣地又给自己点了一碗，还好奇问我吃起来有没有讲究，我跟他说了标准后，他说恩达到了，叫我也尝尝。讲真，我觉得南信的甜品比咸食做得好，这份双皮奶尤其靓！如果说，广州街头任意一家双皮奶都比杭州餐厅供应得好一个手掌，那么南信就是这些双皮奶的MAX级别，说不出的滑腻绵甘，超级棒！
                            

		                            收起评论",很好,很好,很好,518986
请叫我伊丽莎丸袁哥,2018-08-22 11:30,sml-str50,"这家店可谓是人气爆棚！小贴士是座位先让同行小伙伴找好，否则买好都不知道坐哪里。这家店有上下两层，楼下一层由于网络原因只能付现金，二层可微信支付宝。我点的是椰汁木瓜雪耳，广州的甜品量都很大，端上来满满一碗，超大超满足，雪耳配着椰汁，清滑爽口不甜腻，再配着大块木瓜。别提有多满足了。吃着幸福感爆棚！之后顺便外带了红豆双皮奶！真心好评！！完全不甜腻，奶味十足，红豆也是现烧的，红豆沙不甜腻，配上双皮奶，绝代双骄啊！希望开来上海
                            

		                            收起评论",非常好,非常好,非常好,518986
Hugewood,2018-08-09 13:03,sml-str40,"这次是特地为了南信才去的上下九。真的是一家很任性的店，准点九点半开门，九点二十到门口还是关店状态ˊ_>ˋ三十分就冲进去拿了1号！因为是第一个到的所以店里都没有人，很少见的看不到人山人海的时间点。想着还是点招牌吧「双皮奶」点了红豆双皮奶。一直等一直等，等到一楼从只有我一个人到整场坐满大家开始拼桌。还好早上时间充裕，过了大概半个小时服务员终于端着大托盘出来了。一小碗，我点了热的所以盖着盖子。看起来卖相不是特别ok，于是希望味道能好一点。最后有点失望，因为一勺下去发现中间是稀豆腐脑的那种流质状态，太碎太碎了…并没有很喜欢ˊ_>ˋ难道这就是正宗的双皮奶？？以及味道真的没有想象中那么好，齁甜，三口之内就腻了，还好红豆不甜。但做成了红豆沙再和稀的双皮奶在一起口感真的很emmm总之接受无能。[服务]点单的阿姨态度真的有点硬，不过可能就是大店通病没什么好说的。等待的时间会有服务员上茶水，味道就不评论了总之我喝不惯。
                            

		                            收起评论",好,很好,好,518986
360_执着的马,2018-08-29 02:02,sml-str50,"睡到自然醒，又去上下九步行街的南信要一份姜撞奶、一份莲子伴椰汁双皮奶、一份上汤牛三星（算重口味吧，这里人都爱吃，牛肺、牛心和牛肝，尝了几片，除了韭菜好吃，那些嘎嘎片片真不喜欢，剩下浪费了，罪过）这算是此次游走在外最后一天的早餐了。
                            

		                            收起评论",非常好,非常好,非常好,518986
小昕子_17,2018-08-28 13:02,sml-str40,"广州的老字号不少，其中，招牌中有“文”字的就有好几家，每家都有自己的招牌产品，而在这里，我独爱他家的猪手面！可能会有人有疑问，他家不是主打牛奶甜品出名的嘛，你怎么会喜欢吃猪手面呢，我可以负责任的告诉你，其实，他家的猪手面，还真是挺好吃的哟这里不算大，怀旧的装修，红木的桌椅，大理石的台面，无一不在诉说着他家的历史，在这里，点上一碗面食，或者一份甜品，在美味中慢慢感觉时间的流畅，平日工作中的疲惫仿佛都被挡在了门外，这里给你的，只有美食和岁月静好！点了一份最爱的猪手面，猪手洗得很干净，几乎没有什么细毛，猪皮爽滑弹牙，面条也是记忆中的味道，浓厚的汤汁，整碗喝完也不会口渴！牛三星：满满的一碗牛三星，完全遮盖了那碗面条，牛三星口感爽脆，而且没有异味，洗得很干净，好吃，真心的！很喜欢广州的老字号，喜欢周末，搭着公交游广州，去到想去的地方，为的，就是那份记忆中的味道！
                            

		                            收起评论",很好,好,好,518986
lincolnsuper,2018-09-06 22:14,sml-str40,"传统的广式甜品店就应该是这个样子 店面不大 店员都是有点年纪的阿姨 很亲切的说着家常 环境不用特别好 但是给人感到是街坊邻里聚脚的地方 甜品品种是传统为主 各种奶制品 姜撞奶 双皮奶 凤凰奶糊 三个不同甜度级别的 还有杨枝甘露这类港式甜品也混在里面 有二楼 但不常开 在上下九开的这家毕竟卖的是情怀 打传统牌 但是又需要走量 没法做精 按我的口味是刚刚好 不过福建人民表示吃不惯 收银台在最里面 手机信号非常不好 付款方式受到严重限制
                            

		                            收起评论",很好,好,好,518986
肥牛佳,2018-09-05 22:50,sml-str50,"老广同事极力推荐的店铺！在宝华面馆吃完主食，一路散步过来接着战斗。知道自己的肚量，就点了红豆双皮奶和凤凰奶糊。不支持微信支付宝，只能现金。拿小票等了近十分钟，双皮奶姗姗而来。看着一大碗，上面的红豆一大片，而且炖得绵绵的。迫不及待舀起一勺入口，天呐～这才是我梦寐以求的双皮奶！浓郁的奶香，特自然的感觉，而不是靠奶粉冲的假味道！而且甜度把控得很完美，多一分就腻，少一分就淡！我觉得之前在文明路吃的，完全就是吼得凶的网红店水平而已，和南信家相比，差距太大啦！再等了一会儿，凤凰奶糊上来了。甜蜜香浓，好暖心啊！甜蜜的感觉，让我只想沉溺其中不愿自拔！两碗下肚，真的没力气再吃了，挺着撑得不行的肚子幸福离开。最棒的甜品店，强烈推荐


		                            收起评论",非常好,一般,一般,518986
两活勿连,2018-09-11 13:18,sml-str40,"上下九步行街上的网红甜品店，人气爆棚。门口有一面墙的各种认证获奖加持。[环境]上下两层楼，座位很紧凑，还是人满为患。到店运气不错，正好接到一张四人桌。[服务]下单排队时间不长，上餐其实也很快，就是对单号总是出错，前后好几次，建议改进一下对接。「双皮奶」「杨枝甘露」「椰汁木瓜雪耳」「椰汁红豆西米露」都很地道，没有雷区。分量也很足，吃完都有点饱腹～建议按四人三份会点比较好。
                            

		                            收起评论",非常好,好,好,518986
宝贝longan,2018-09-05 15:34,sml-str40,"不是周末节假日，在上下九步行街的南信甜品店也是人山人海，就算肯一起搭台，也必须等位。        好在等了没有多久，就可以和别人一起搭台了。        点了姜撞奶，很香的奶味，甜度适中，姜汁遇到热牛奶，静置3分钟后会凝固，奶上面放一小勺不沉，入口嫩滑细腻，除了奶味十足之外，还有浓浓的姜味，十分暖胃。        椰汁红豆香芋泥，如此甜品名字一样，椰汁香，红豆粉，香芋泥真的是粉香粉香的，这三样混和在一起做的糖水真的好好吃，喜欢吃香芋的我大爱，赞。        老字号的出品果然稳定。
                            

		                            收起评论",很好,好,好,518986
柚chopyf,"2018-09-12
  更新于2018-09-13 11:37",sml-str40,"#我为VIP代言#地址： 荔灣區第十甫路47号(近宝华路) 人均：30元左右在广州众多的双皮奶中 这家是我几乎每次来广州都会打卡的店 南信牛奶甜品专家 始于1934年，距今也有八十余年了 它家的双皮奶是用了新鲜的水牛奶 水牛奶的产量较低，但营养价值高 在这里，似乎没有什么高峰期可言 几乎什么时候，都要排队 有一楼二楼之分 店内很大 但依然要排队 新鲜椰汁炖双皮奶14元一份若你胃口小的话 这家的双皮奶我建议你两人吃一份 因为它家的双皮奶，相比其他家的，份量都要大很多 因为我们很爱吃双皮奶 所以，我们是一人一份的 店内人太多了，所以只能搭台坐 椰汁双皮奶 奶香味重，椰汁的香味相比之下，较淡 入口不是那种立即化成水的口感 比较醇厚，扎实的感觉 不过吃到最后，会腻更多精彩可以详见我的帖子~
                            

		                            收起评论",很好,很好,很好,518986
suki_gb,2018-08-30 23:55,sml-str50,"去广州玩，美食当然不能辜负，住在上下九，晚上9点出来觅食。XHS上看了别人的笔记，直接选择了南信，晚上过了饭点，居然还满座，生意火到不行。和别人拼桌坐下，把推荐的和想吃的都点了（可惜牛三星卖光了）。甜品不说了，双皮奶招牌，很浓郁，很厚，但是不甜，非常喜欢。两款椰汁西米露都不错，西米很大，比上海的大多了，很Q，不甜，好吃干炒牛河好香，量翻上海的一倍，最后实在吃不下打包了。鲜虾云吞面：小份的已经是上海大份的量，云吞还是大虾，很满足，汤也很鲜杂锦鱼蛋粉：里面好多丸子，鱼蛋，牛肉丸，包心丸，还有贡丸都好Q弹，好好吃，大份的量实在是有够大。这里因为生意好，所以环境一般，不过甜品口味超级的，以至于第二天晚上点了外卖作夜宵


		                            收起评论",非常好,好,很好,518986
几哩是块里脊_,2018-09-24 09:32,sml-str40,"来了广州可以说出一系列小吃:早茶，肠粉，烧腊，甜品，糖水，汤品等从饮食文化上面就可以看出来一个城市的底蕴如何广州的美食（非全国连锁店）真的需要花费很久来品来味感觉自己可能在以后的时间里真的会常来吃点小吃！～南信牛奶甜品专家这家也算是来广州必打卡的甜品铺子广州的这种老店铺子都很“高冷”的只收现金所以不要妄想带着手机刷一碗甜品来之前备好零钱才行生意真的特别好，应该大多数外地人慕名而来没有位置只能打包，点了一份双皮奶一份姜汁撞奶没有任何装饰图片看起来只是两碗白乎乎的图③图④ 端着小碗在店里身手矫健地穿梭导致双皮奶都奶“碎了”，不过还好细腻嫩滑的口感还在纯正的奶香味依旧非常浓郁，基本上入口即化第二款酱汁撞奶，立马能闻到姜的味道特别浓郁口感像布丁一样顺滑，姜的辛辣和奶的香甜融为一体竟然不会突兀吃上一口感觉胃部都暖暖的敷贴舒服
                            

		                            收起评论",非常好,好,好,518986
荷塘青韵,2018-09-04 23:17,sml-str30,"对于甜食我并不是很爱，但既然出差来到广州，肯定要去次当地有名的【南信牛奶甜品专家】差不多午饭时段到的那，小伙伴们都点了自己想吃的东西。我就要了最简单的【鲜虾云吞】和【双皮奶】云吞貌似味精放了太多，鲜到眉毛“掉”下来。双皮奶却又太厚，如果再薄一点口感会更好。此店生意很好，几乎都是拼桌一起吃的，我们四个人是分两批去的，所以也没机会坐一起。价格方面算是很亲民，不过偶尔吃吃还行，一直吃会很腻……
                            

		                            收起评论",好,好,好,518986
树懒丹,2018-09-12 21:36,sml-str50,"打卡广州上下九步行街，那条类似于上海南京路步行街的街！到处琳琅满目的旅游商品却似鸡肋，我反正是用走马观花的！主要目的还是冲着听说人气爆棚的南信去的，我是跟着手机导航找去的，就在陶陶居斜对面，人气真的是旺！找个座位都很难，挑喜欢吃的点呗，除了牛三星我们不是很喜欢，其他都灰常好次！初次去一个餐厅对点单没经验的话，照着大拇指点基本不会错的！红豆双皮奶和鲜虾肠粉特别特别推荐！
                            

		                            收起评论",非常好,非常好,非常好,518986
忽忽_3307,2018-09-26 09:13,sml-str40,抱着很大期望去的，人真的超级多，买的门口的外带双皮奶和杨枝甘露，味道不错，不过也没有传说中那么美妙,很好,一般,非常好,518986
BerlinettaNNN,2018-09-25 23:37,sml-str10,超级恶心！！！打包了三份回家吃到第二份的时候直接吃出不知道是什么跟锈铁丝一样的不明物体 看到7k多赞才敢来吃的 排队等半天结果就等到这玩意！！！没人吃了拉肚子的？？？,差,差,差,518986
